Tool,Aggregation,Threshold,n_pep,n_valid_pep_for_spearman,n_pos,n_neg,AUC_ROC,AUPRC,Spearman_rho,Spearman_pval
DeepImmuno,max,>0,101,101,90,11,0.4813,0.8951,-0.1168,0.2449
DeepImmuno,max,>10,101,101,64,37,0.5188,0.6632,-0.1168,0.2449
DeepImmuno,max,>median,101,101,50,51,0.4535,0.4929,-0.1168,0.2449
DeepImmuno,mean,>0,101,101,90,11,0.5192,0.8871,-0.1494,0.136
DeepImmuno,mean,>10,101,101,64,37,0.4717,0.6209,-0.1494,0.136
DeepImmuno,mean,>median,101,101,50,51,0.4431,0.4757,-0.1494,0.136
DeepImmuno,top3mean,>0,101,101,90,11,0.499,0.9001,-0.1248,0.2139
DeepImmuno,top3mean,>10,101,101,64,37,0.5177,0.6572,-0.1248,0.2139
DeepImmuno,top3mean,>median,101,101,50,51,0.4439,0.4871,-0.1248,0.2139
PredIG,max,>0,101,101,90,11,0.6611,0.9411,0.1983,0.0468
PredIG,max,>10,101,101,64,37,0.5576,0.6771,0.1983,0.0468
PredIG,max,>median,101,101,50,51,0.5676,0.5619,0.1983,0.0468
PredIG,mean,>0,101,101,90,11,0.7495,0.9592,0.2797,0.0046
PredIG,mean,>10,101,101,64,37,0.6309,0.7221,0.2797,0.0046
PredIG,mean,>median,101,101,50,51,0.6145,0.5898,0.2797,0.0046
PredIG,top3mean,>0,101,101,90,11,0.6626,0.939,0.2042,0.0406
PredIG,top3mean,>10,101,101,64,37,0.5644,0.6922,0.2042,0.0406
PredIG,top3mean,>median,101,101,50,51,0.5712,0.5629,0.2042,0.0406
IMPROVE,max,>0,101,101,90,11,0.6207,0.9221,0.2434,0.0142
IMPROVE,max,>10,101,101,64,37,0.6556,0.7599,0.2434,0.0142
IMPROVE,max,>median,101,101,50,51,0.5982,0.6211,0.2434,0.0142
IMPROVE,mean,>0,101,101,90,11,0.6182,0.9184,0.2074,0.0374
IMPROVE,mean,>10,101,101,64,37,0.6149,0.7349,0.2074,0.0374
IMPROVE,mean,>median,101,101,50,51,0.6027,0.61,0.2074,0.0374
IMPROVE,top3mean,>0,101,101,90,11,0.6258,0.9212,0.3202,0.0011
IMPROVE,top3mean,>10,101,101,64,37,0.6805,0.7859,0.3202,0.0011
IMPROVE,top3mean,>median,101,101,50,51,0.6455,0.654,0.3202,0.0011
NeoTImmuML,max,>0,101,101,90,11,0.6551,0.9421,0.0218,0.8285
NeoTImmuML,max,>10,101,101,64,37,0.5046,0.6374,0.0218,0.8285
NeoTImmuML,max,>median,101,101,50,51,0.5173,0.5155,0.0218,0.8285
NeoTImmuML,mean,>0,101,101,90,11,0.5758,0.9251,0.0966,0.3365
NeoTImmuML,mean,>10,101,101,64,37,0.5503,0.6962,0.0966,0.3365
